image1,image2,similarité
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 104124.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 104842.png,0.866450
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 104124.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 111616.png,0.934159
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 104124.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 112525.png,0.964166
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 104124.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 115802.png,0.862493
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 104124.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 180215.png,0.869860
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 104124.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 190305.png,0.898916
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 104124.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 190646.png,0.879595
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 104124.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 201703.png,0.970113
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 104124.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 201720.png,0.862873
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 104246.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 104611.png,0.902385
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 104246.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 104837.png,0.947092
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 104246.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 104856.png,0.852316
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 104246.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 201714.png,0.913733
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 104611.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 104837.png,0.933201
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 104611.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 104842.png,0.860418
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 104611.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 104856.png,0.876917
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 104611.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 115802.png,0.870376
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 104611.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 201714.png,0.941143
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 104837.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 104842.png,0.895357
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 104837.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 104856.png,0.887542
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 104837.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 111616.png,0.858244
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 104837.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 115802.png,0.881606
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 104837.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 200406.png,0.873212
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 104837.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 201714.png,0.901975
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 104837.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 201720.png,0.872759
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 104842.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 104856.png,0.905868
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 104842.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 111616.png,0.893420
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 104842.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 112525.png,0.886204
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 104842.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 115802.png,0.966091
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 104842.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 190305.png,0.857285
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 104842.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 200406.png,0.877904
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 104842.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 201703.png,0.880990
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 104842.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 201720.png,0.952555
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 104856.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 115802.png,0.918521
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 104856.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 200406.png,0.859057
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 104856.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 201714.png,0.883614
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 104856.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 201720.png,0.929782
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 104902.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 115015.png,0.914852
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 104902.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 120658.png,0.902930
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 104902.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 120705.png,0.889142
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 111616.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 112525.png,0.965964
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 111616.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 115802.png,0.882288
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 111616.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 180215.png,0.861997
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 111616.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 190305.png,0.891297
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 111616.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 190646.png,0.864790
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 111616.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 200406.png,0.887501
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 111616.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 201703.png,0.925756
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 111616.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 201720.png,0.865450
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 112525.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 115802.png,0.875633
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 112525.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 180215.png,0.879756
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 112525.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 190305.png,0.899894
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 112525.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 190646.png,0.882386
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 112525.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 200406.png,0.861469
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 112525.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 201703.png,0.959950
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 112525.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 201720.png,0.857096
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 114441.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 173207.png,0.850975
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 114441.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 174853.png,0.865606
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 114441.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 180215.png,0.858302
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 114441.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 191816.png,0.883044
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 114441.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 195636.png,0.880232
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 114441.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 200620.png,0.886386
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 114441.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 201133.png,0.861431
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 114441.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-27 102002.png,0.859242
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 114441.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-27 104411.png,0.877106
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 114751.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 180833.png,0.887979
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 114751.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 183718.png,0.907650
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 114751.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 184047.png,0.862290
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 114751.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 192616.png,0.917001
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 114751.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 193415.png,0.903798
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 114751.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 194643.png,0.914264
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 114751.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 195248.png,0.857901
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 115015.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 115802.png,0.852336
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 115015.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 120658.png,0.923883
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 115015.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 120705.png,0.944730
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 115802.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 120705.png,0.864385
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 115802.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 180215.png,0.850338
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 115802.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 190305.png,0.868109
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 115802.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 190646.png,0.859127
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 115802.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 200406.png,0.880778
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 115802.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 201703.png,0.875042
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 115802.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 201720.png,0.967760
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 120658.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 120705.png,0.916006
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 170800.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 170935.png,0.947108
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 170800.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 173207.png,0.885248
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 170935.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 173207.png,0.949146
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 173207.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 191522.png,0.851600
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 173207.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 191816.png,0.881243
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 173207.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 200620.png,0.851558
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 173207.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-27 104411.png,0.861840
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 174136.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 174454.png,0.913813
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 174853.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 180215.png,0.864734
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 174853.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 191522.png,0.881389
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 174853.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 193415.png,0.874693
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 174853.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 194643.png,0.869150
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 174853.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 200406.png,0.851552
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 174853.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 200620.png,0.859229
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 174853.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-27 104411.png,0.913710
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 180215.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 190305.png,0.882928
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 180215.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 190646.png,0.880055
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 180215.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 192616.png,0.876693
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 180215.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 200406.png,0.870304
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 180215.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 201703.png,0.856228
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 180215.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-27 104411.png,0.905754
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 180833.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 183718.png,0.971356
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 180833.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 184047.png,0.860608
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 180833.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 190305.png,0.858991
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 180833.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 191816.png,0.882501
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 180833.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 192616.png,0.929386
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 180833.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 193415.png,0.885514
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 180833.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 194643.png,0.896285
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 180833.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 200620.png,0.853366
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 180833.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 201133.png,0.850879
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 180833.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-27 104411.png,0.868802
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 183718.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 184047.png,0.902528
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 183718.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 191816.png,0.879863
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 183718.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 192616.png,0.926993
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 183718.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 193415.png,0.899441
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 183718.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 194643.png,0.909018
